filename,xmin,xmax,ymin,ymax,class,height,width
0000945.jpg,253,353,34,220,3,186,100
0000945.jpg,121,222,53,226,2,173,101
0000944.jpg,131,228,45,227,2,182,97
0000944.jpg,256,353,39,226,3,187,97
0000944.jpg,133,267,147,463,1,316,134
0000943.jpg,5,103,168,472,1,304,98
0000943.jpg,2,61,1,171,2,170,59
0000943.jpg,70,175,0,163,3,163,105
0000942.jpg,168,269,163,420,1,257,101
0000942.jpg,183,255,4,188,2,184,72
0000942.jpg,274,353,13,168,3,155,79
0000941.jpg,92,201,118,357,2,239,109
0000941.jpg,241,338,127,337,3,210,97
0000941.jpg,57,181,400,478,1,78,124
0000940.jpg,2,143,154,396,2,242,141
0000940.jpg,151,290,170,369,3,199,139
0000940.jpg,33,98,435,478,1,43,65
0000939.jpg,146,288,201,476,1,275,142
0000939.jpg,189,303,106,325,2,219,114
0000939.jpg,334,458,83,270,3,187,124
0000938.jpg,5,159,204,475,1,271,154
0000938.jpg,35,166,99,320,2,221,131
0000938.jpg,193,322,66,259,3,193,129
0000937.jpg,181,328,134,479,1,345,147
0000937.jpg,224,340,24,253,2,229,116
0000937.jpg,392,510,17,238,3,221,118
0000936.jpg,88,208,114,327,2,213,120
0000936.jpg,265,384,101,298,3,197,119
0000936.jpg,447,534,71,344,1,273,87
0000935.jpg,134,233,133,332,2,199,99
0000935.jpg,255,375,112,283,3,171,120
0000935.jpg,452,534,88,335,1,247,82
0000934.jpg,254,361,91,332,2,241,107
0000934.jpg,403,532,79,285,3,206,129
0000933.jpg,54,204,98,417,2,319,150
0000933.jpg,287,407,95,355,3,260,120
0000933.jpg,537,638,90,453,1,363,101
0000932.jpg,33,167,118,434,2,316,134
0000932.jpg,251,387,125,389,3,264,136
0000932.jpg,514,637,100,464,1,364,123
0000931.jpg,244,314,146,363,1,217,70
0000931.jpg,71,171,171,335,3,164,100
0000931.jpg,0,38,177,371,2,194,38
0000930.jpg,239,308,41,258,1,217,69
0000930.jpg,70,171,64,228,3,164,101
0000930.jpg,1,44,67,256,2,189,43
0000929.jpg,174,273,155,304,3,149,99
0000929.jpg,275,360,109,276,2,167,85
0000929.jpg,425,504,82,283,1,201,79
0000928.jpg,124,213,150,294,3,144,89
0000928.jpg,236,299,104,251,2,147,63
0000928.jpg,352,440,68,264,1,196,88
0000927.jpg,92,185,172,308,3,136,93
0000927.jpg,201,284,121,271,2,150,83
0000927.jpg,314,403,92,278,1,186,89
0000926.jpg,166,268,179,347,3,168,102
0000926.jpg,320,387,147,323,2,176,67
0000926.jpg,449,525,129,352,1,223,76
0000925.jpg,197,312,190,421,3,231,115
0000925.jpg,351,435,145,352,2,207,84
0000925.jpg,492,577,135,410,1,275,85
0000924.jpg,277,362,175,382,3,207,85
0000924.jpg,412,490,155,346,2,191,78
0000924.jpg,526,617,70,339,1,269,91
0000923.jpg,360,470,170,449,3,279,110
0000923.jpg,545,638,155,412,2,257,93
0000922.jpg,0,68,164,376,2,212,68
0000922.jpg,105,204,75,356,1,281,99
0000921.jpg,200,285,225,408,3,183,85
0000921.jpg,311,395,182,379,2,197,84
0000921.jpg,434,519,95,370,1,275,85
0000920.jpg,327,406,179,372,3,193,79
0000920.jpg,441,532,148,358,2,210,91
0000920.jpg,576,639,68,357,1,289,63
0000919.jpg,175,267,210,410,3,200,92
0000919.jpg,290,377,161,367,2,206,87
0000919.jpg,409,502,60,346,1,286,93
0000918.jpg,46,131,279,478,3,199,85
0000918.jpg,164,244,233,442,2,209,80
0000918.jpg,282,365,147,422,1,275,83
0000917.jpg,0,63,165,473,3,308,63
0000917.jpg,121,271,115,438,2,323,150
0000917.jpg,288,480,3,428,1,425,192
0000916.jpg,99,240,329,477,3,148,141
0000916.jpg,283,430,275,473,2,198,147
0000916.jpg,462,639,148,480,1,332,177
0000915.jpg,52,189,214,478,3,264,137
0000915.jpg,231,373,159,478,2,319,142
0000915.jpg,407,595,21,475,1,454,188
0000914.jpg,3,66,187,479,3,292,63
0000914.jpg,112,251,123,475,2,352,139
0000914.jpg,309,479,2,451,1,449,170
0000913.jpg,421,576,126,477,3,351,155
0000912.jpg,253,405,143,472,3,329,152
0000912.jpg,420,596,92,442,2,350,176
0000911.jpg,235,384,102,438,3,336,149
0000911.jpg,402,574,47,399,2,352,172
0000911.jpg,581,639,58,380,1,322,58
0000910.jpg,197,310,130,391,3,261,113
0000910.jpg,341,450,70,350,2,280,109
0000910.jpg,484,635,3,325,1,322,151
0000909.jpg,321,432,181,452,3,271,111
0000909.jpg,468,590,121,411,2,290,122
0000908.jpg,3,165,55,417,3,362,162
0000908.jpg,202,369,6,422,2,416,167
0000908.jpg,456,636,4,447,1,443,180
0000907.jpg,45,244,36,413,3,377,199
0000907.jpg,286,473,2,427,2,425,187
0000907.jpg,561,639,2,444,1,442,78
0000906.jpg,398,587,57,479,3,422,189
0000905.jpg,271,427,83,418,3,335,156
0000905.jpg,484,638,35,438,2,403,154
0000904.jpg,220,389,49,389,3,340,169
0000904.jpg,431,596,3,395,2,392,165
0000903.jpg,136,290,91,399,3,308,154
0000903.jpg,315,483,45,405,2,360,168
0000903.jpg,551,636,1,440,1,439,85
0000902.jpg,125,236,159,395,3,236,111
0000902.jpg,268,383,141,413,2,272,115
0000902.jpg,434,584,41,450,1,409,150
0000901.jpg,68,188,170,410,3,240,120
0000901.jpg,212,336,149,424,2,275,124
0000901.jpg,386,525,45,456,1,411,139
0000900.jpg,37,186,148,419,3,271,149
0000900.jpg,192,350,111,419,2,308,158
0000900.jpg,397,548,0,449,1,449,151
0000899.jpg,152,255,130,340,3,210,103
0000899.jpg,272,384,102,344,2,242,112
0000899.jpg,433,538,4,364,1,360,105
0000898.jpg,240,304,110,266,3,156,64
0000898.jpg,339,403,91,266,2,175,64
0000898.jpg,435,528,27,273,1,246,93
0000897.jpg,101,180,184,343,3,159,79
0000897.jpg,197,275,154,326,2,172,78
0000897.jpg,306,390,77,317,1,240,84
0000896.jpg,270,347,198,366,3,168,77
0000896.jpg,374,449,157,346,2,189,75
0000896.jpg,482,567,72,330,1,258,85
0000895.jpg,204,286,189,369,3,180,82
0000895.jpg,314,393,152,346,2,194,79
0000895.jpg,426,518,61,330,1,269,92
0000894.jpg,201,304,156,338,2,182,103
0000894.jpg,297,379,141,300,3,159,82
0000894.jpg,387,480,30,273,1,243,93
0000893.jpg,115,216,191,425,2,234,101
0000893.jpg,191,269,159,354,3,195,78
0000893.jpg,279,367,24,310,1,286,88
0000892.jpg,281,397,212,475,2,263,116
0000892.jpg,381,473,171,403,3,232,92
0000892.jpg,483,617,11,352,1,341,134
0000891.jpg,316,411,395,480,2,85,95
0000891.jpg,385,458,360,480,3,120,73
0000891.jpg,458,556,244,478,1,234,98
0000890.jpg,85,151,305,439,2,134,66
0000890.jpg,150,209,296,413,3,117,59
0000890.jpg,210,280,217,389,1,172,70
0000889.jpg,164,257,229,430,2,201,93
0000889.jpg,266,339,214,390,3,176,73
0000889.jpg,368,455,106,372,1,266,87
0000888.jpg,161,266,234,450,2,216,105
0000888.jpg,272,353,211,399,3,188,81
0000888.jpg,383,470,91,375,1,284,87
0000887.jpg,169,287,158,438,1,280,118
0000887.jpg,289,389,199,395,2,196,100
0000887.jpg,383,467,183,351,3,168,84
0000886.jpg,251,394,68,415,1,347,143
0000886.jpg,412,531,134,376,2,242,119
0000886.jpg,553,638,120,343,3,223,85
0000885.jpg,104,266,37,434,1,397,162
0000885.jpg,286,414,118,400,2,282,128
0000885.jpg,440,548,117,367,3,250,108
0000884.jpg,59,162,109,355,1,246,103
0000884.jpg,171,254,168,350,2,182,83
0000884.jpg,273,349,177,340,3,163,76
0000883.jpg,96,197,99,363,1,264,101
0000883.jpg,212,298,174,367,2,193,86
0000883.jpg,327,402,191,364,3,173,75
0000882.jpg,238,340,31,298,1,267,102
0000882.jpg,332,419,106,301,2,195,87
0000882.jpg,453,530,127,308,3,181,77
0000881.jpg,167,271,85,353,1,268,104
0000881.jpg,262,351,158,354,2,196,89
0000881.jpg,382,462,179,356,3,177,80
0000880.jpg,132,253,89,381,1,292,121
0000880.jpg,246,345,152,361,2,209,99
0000880.jpg,374,457,158,337,3,179,83
0000879.jpg,156,255,205,464,1,259,99
0000879.jpg,255,331,259,442,2,183,76
0000879.jpg,359,425,264,411,3,147,66
0000878.jpg,303,402,65,385,1,320,99
0000878.jpg,413,503,140,370,2,230,90
0000878.jpg,530,618,151,328,3,177,88
0000877.jpg,179,303,23,419,1,396,124
0000877.jpg,297,398,103,369,2,266,101
0000877.jpg,394,483,101,291,3,190,89
0000876.jpg,176,299,63,466,1,403,123
0000876.jpg,299,403,141,414,2,273,104
0000876.jpg,401,498,142,336,3,194,97
0000875.jpg,228,351,95,459,1,364,123
0000875.jpg,361,464,167,419,2,252,103
0000875.jpg,483,580,162,362,3,200,97
0000874.jpg,149,300,69,430,1,361,151
0000874.jpg,285,394,136,390,2,254,109
0000874.jpg,417,505,127,322,3,195,88
0000873.jpg,227,344,70,425,1,355,117
0000873.jpg,347,445,140,388,2,248,98
0000873.jpg,456,560,135,326,3,191,104
0000872.jpg,278,374,181,433,1,252,96
0000872.jpg,335,389,219,343,2,124,54
0000872.jpg,375,439,206,338,3,132,64
0000871.jpg,181,271,162,444,1,282,90
0000871.jpg,259,305,199,358,2,159,46
0000871.jpg,308,381,200,346,3,146,73
0000870.jpg,357,444,183,436,1,253,87
0000870.jpg,429,490,228,395,2,167,61
0000870.jpg,514,581,231,367,3,136,67
0000869.jpg,103,213,107,372,1,265,110
0000869.jpg,190,277,156,339,2,183,87
0000869.jpg,297,377,160,323,3,163,80
0000868.jpg,144,270,116,424,1,308,126
0000868.jpg,237,344,175,393,2,218,107
0000868.jpg,371,465,185,375,3,190,94
0000867.jpg,121,274,2,425,1,423,153
0000867.jpg,280,416,58,402,2,344,136
0000867.jpg,469,618,119,427,3,308,149
0000866.jpg,83,209,121,418,2,297,126
0000866.jpg,274,378,142,400,3,258,104
0000865.jpg,128,254,88,386,2,298,126
0000865.jpg,320,430,112,375,3,263,110
0000864.jpg,202,345,79,394,2,315,143
0000864.jpg,395,529,117,419,3,302,134
0000863.jpg,236,387,100,416,3,316,151
0000862.jpg,238,364,107,397,3,290,126
0000861.jpg,185,289,149,369,3,220,104
0000861.jpg,264,384,122,390,2,268,120
0000861.jpg,358,500,17,420,1,403,142
0000860.jpg,211,299,165,364,3,199,88
0000860.jpg,282,391,148,382,2,234,109
0000860.jpg,376,488,53,412,1,359,112
0000859.jpg,153,202,205,304,3,99,49
0000859.jpg,196,247,189,310,2,121,51
0000859.jpg,242,300,143,315,1,172,58
0000858.jpg,209,267,278,397,3,119,58
0000858.jpg,254,319,261,400,2,139,65
0000858.jpg,302,377,207,406,1,199,75
0000857.jpg,158,219,241,379,3,138,61
0000857.jpg,210,279,225,382,2,157,69
0000857.jpg,275,352,167,394,1,227,77
0000856.jpg,205,278,257,419,3,162,73
0000856.jpg,264,348,241,427,2,186,84
0000856.jpg,339,431,173,441,1,268,92
0000855.jpg,148,260,173,415,3,242,112
0000855.jpg,250,369,150,435,2,285,119
0000855.jpg,377,506,31,461,1,430,129
0000854.jpg,70,177,196,437,3,241,107
0000854.jpg,169,283,175,449,2,274,114
0000854.jpg,292,412,66,471,1,405,120
0000853.jpg,286,379,181,397,3,216,93
0000853.jpg,383,486,155,407,2,252,103
0000853.jpg,497,612,48,427,1,379,115
0000852.jpg,184,279,181,412,3,231,95
0000852.jpg,292,395,161,418,2,257,103
0000852.jpg,404,534,61,436,1,375,130
0000851.jpg,233,349,182,444,3,262,116
0000851.jpg,340,467,144,431,2,287,127
0000851.jpg,483,625,6,429,1,423,142
0000850.jpg,246,341,118,355,3,237,95
0000850.jpg,349,451,85,350,2,265,102
0000850.jpg,475,601,6,356,1,350,126
0000849.jpg,247,374,172,432,3,260,127
0000849.jpg,336,462,131,411,2,280,126
0000849.jpg,433,568,22,386,1,364,135
0000848.jpg,57,159,142,369,3,227,102
0000848.jpg,152,246,105,349,2,244,94
0000848.jpg,233,342,14,330,1,316,109
0000847.jpg,0,48,150,376,3,226,48
0000847.jpg,25,134,123,369,2,246,109
0000847.jpg,100,236,48,358,1,310,136
0000846.jpg,154,243,188,398,3,210,89
0000846.jpg,243,337,159,393,2,234,94
0000846.jpg,350,458,64,381,1,317,108
0000845.jpg,377,477,161,365,3,204,100
0000845.jpg,466,569,137,360,2,223,103
0000845.jpg,546,638,61,364,1,303,92
0000844.jpg,186,269,206,369,3,163,83
0000844.jpg,252,329,184,362,2,178,77
0000844.jpg,327,420,115,360,1,245,93
0000843.jpg,178,255,195,371,3,176,77
0000843.jpg,258,337,171,367,2,196,79
0000843.jpg,351,440,100,371,1,271,89
0000842.jpg,264,354,187,419,3,232,90
0000842.jpg,343,460,166,435,2,269,117
0000842.jpg,460,597,54,475,1,421,137
0000841.jpg,218,300,226,434,3,208,82
0000841.jpg,289,387,213,451,2,238,98
0000841.jpg,394,505,121,476,1,355,111
0000840.jpg,158,233,161,340,3,179,75
0000840.jpg,217,313,141,350,2,209,96
0000840.jpg,302,407,52,365,1,313,105
0000839.jpg,417,472,196,341,3,145,55
0000839.jpg,470,540,183,351,2,168,70
0000839.jpg,550,626,124,370,1,246,76
0000838.jpg,228,272,145,247,3,102,44
0000838.jpg,266,318,132,247,2,115,52
0000838.jpg,323,381,87,250,1,163,58
0000837.jpg,298,347,223,339,3,116,49
0000837.jpg,343,399,211,342,2,131,56
0000837.jpg,411,471,162,351,1,189,60
0000836.jpg,34,102,251,405,3,154,68
0000836.jpg,93,169,232,408,2,176,76
0000836.jpg,176,256,166,419,1,253,80
0000835.jpg,116,199,165,352,3,187,83
0000835.jpg,190,286,141,352,2,211,96
0000835.jpg,298,396,52,363,1,311,98
0000834.jpg,99,200,183,418,3,235,101
0000834.jpg,205,309,148,418,2,270,104
0000834.jpg,340,447,46,421,1,375,107
0000833.jpg,165,251,199,414,3,215,86
0000833.jpg,262,352,174,413,2,239,90
0000833.jpg,382,483,76,424,1,348,101
0000832.jpg,158,230,167,343,3,176,72
0000832.jpg,236,312,146,344,2,198,76
0000832.jpg,336,421,71,352,1,281,85
0000831.jpg,189,229,222,318,3,96,40
0000831.jpg,232,274,210,317,2,107,42
0000831.jpg,284,328,168,315,1,147,44
0000830.jpg,138,179,216,314,3,98,41
0000830.jpg,177,223,204,312,2,108,46
0000830.jpg,233,281,162,309,1,147,48
0000829.jpg,199,242,234,332,3,98,43
0000829.jpg,241,289,221,330,2,109,48
0000829.jpg,296,344,180,328,1,148,48
0000828.jpg,302,355,202,326,3,124,53
0000828.jpg,351,413,185,321,2,136,62
0000828.jpg,421,484,130,321,1,191,63
0000827.jpg,182,244,312,471,3,159,62
0000827.jpg,244,318,291,466,2,175,74
0000827.jpg,330,409,220,472,1,252,79
0000826.jpg,302,372,350,480,3,130,70
0000826.jpg,375,452,335,480,2,145,77
0000826.jpg,465,550,257,477,1,220,85
0000825.jpg,43,167,1,232,3,231,124
0000825.jpg,150,247,3,203,2,200,97
0000825.jpg,241,341,4,174,1,170,100
0000824.jpg,12,126,30,291,3,261,114
0000824.jpg,111,219,3,264,2,261,108
0000824.jpg,215,323,2,242,1,240,108
0000823.jpg,52,178,231,480,3,249,126
0000823.jpg,173,296,199,479,2,280,123
0000823.jpg,292,434,89,472,1,383,142
0000822.jpg,33,155,276,480,3,204,122
0000822.jpg,157,277,235,479,2,244,120
0000822.jpg,290,414,107,478,1,371,124
0000821.jpg,142,267,271,475,3,204,125
0000821.jpg,261,384,240,478,2,238,123
0000821.jpg,387,517,120,476,1,356,130
0000820.jpg,89,217,109,419,3,310,128
0000820.jpg,224,350,82,397,2,315,126
0000820.jpg,363,502,0,377,1,377,139
0000819.jpg,28,168,43,326,3,283,140
0000819.jpg,156,286,7,299,2,292,130
0000819.jpg,287,405,2,265,1,263,118
0000818.jpg,4,119,107,383,3,276,115
0000818.jpg,126,278,83,392,2,309,152
0000818.jpg,281,452,0,401,1,401,171
0000817.jpg,131,259,119,424,3,305,128
0000817.jpg,295,431,82,435,2,353,136
0000817.jpg,468,636,4,439,1,435,168
0000816.jpg,512,636,28,361,3,333,124
0000815.jpg,354,469,127,407,3,280,115
0000815.jpg,502,632,84,406,2,322,130
0000814.jpg,343,455,91,378,3,287,112
0000814.jpg,493,624,50,379,2,329,131
0000813.jpg,368,475,96,366,3,270,107
0000813.jpg,514,633,53,367,2,314,119
0000812.jpg,393,487,141,371,3,230,94
0000812.jpg,519,623,106,378,2,272,104
0000811.jpg,246,328,164,367,3,203,82
0000811.jpg,354,444,134,371,2,237,90
0000811.jpg,469,577,27,372,1,345,108
0000810.jpg,48,132,134,335,3,201,84
0000810.jpg,160,245,110,338,2,228,85
0000810.jpg,268,375,5,344,1,339,107
0000809.jpg,225,306,146,343,3,197,81
0000809.jpg,329,413,117,344,2,227,84
0000809.jpg,444,543,20,343,1,323,99
0000808.jpg,102,187,148,353,3,205,85
0000808.jpg,206,297,125,347,2,222,91
0000808.jpg,323,424,31,337,1,306,101
0000807.jpg,178,248,165,335,3,170,70
0000807.jpg,265,340,145,333,2,188,75
0000807.jpg,360,451,67,327,1,260,91
0000806.jpg,304,362,242,374,3,132,58
0000806.jpg,370,430,219,369,2,150,60
0000806.jpg,449,514,163,363,1,200,65
0000805.jpg,258,323,229,374,3,145,65
0000805.jpg,323,392,202,357,2,155,69
0000805.jpg,405,470,129,346,1,217,65
0000804.jpg,179,259,217,413,3,196,80
0000804.jpg,260,342,185,389,2,204,82
0000804.jpg,358,438,97,366,1,269,80
0000803.jpg,110,203,190,400,3,210,93
0000803.jpg,201,288,160,374,2,214,87
0000803.jpg,299,390,63,346,1,283,91
0000802.jpg,30,130,101,347,3,246,100
0000802.jpg,130,238,86,324,2,238,108
0000802.jpg,233,358,5,318,1,313,125
0000801.jpg,100,203,175,405,3,230,103
0000801.jpg,195,293,146,373,2,227,98
0000801.jpg,296,402,59,366,1,307,106
0000800.jpg,176,257,179,380,3,201,81
0000800.jpg,271,351,150,355,2,205,80
0000800.jpg,359,448,64,340,1,276,89
0000799.jpg,156,235,196,401,3,205,79
0000799.jpg,263,347,168,381,2,213,84
0000799.jpg,356,453,82,372,1,290,97
0000798.jpg,225,306,159,345,3,186,81
0000798.jpg,326,408,126,329,2,203,82
0000798.jpg,417,516,46,326,1,280,99
0000797.jpg,134,226,156,374,3,218,92
0000797.jpg,271,364,128,372,2,244,93
0000797.jpg,368,483,25,384,1,359,115
0000796.jpg,93,184,153,358,3,205,91
0000796.jpg,223,316,118,355,2,237,93
0000796.jpg,314,421,23,364,1,341,107
0000795.jpg,203,278,153,330,3,177,75
0000795.jpg,311,392,129,332,2,203,81
0000795.jpg,384,480,35,337,1,302,96
0000794.jpg,133,185,233,363,3,130,52
0000794.jpg,203,266,215,357,2,142,63
0000794.jpg,250,321,150,355,1,205,71
0000793.jpg,146,204,169,288,3,119,58
0000793.jpg,213,272,150,285,2,135,59
0000793.jpg,258,321,94,284,1,190,63
0000792.jpg,134,185,203,332,3,129,51
0000792.jpg,212,272,181,335,2,154,60
0000792.jpg,273,340,117,330,1,213,67
0000791.jpg,257,309,201,336,3,135,52
0000791.jpg,341,400,187,336,2,149,59
0000791.jpg,397,468,127,340,1,213,71
0000790.jpg,218,274,282,428,3,146,56
0000790.jpg,298,360,257,416,2,159,62
0000790.jpg,370,433,194,411,1,217,63
0000789.jpg,174,235,316,470,3,154,61
0000789.jpg,262,324,289,464,2,175,62
0000789.jpg,340,405,224,457,1,233,65
0000788.jpg,348,472,161,409,3,248,124
0000788.jpg,488,629,145,414,2,269,141
0000787.jpg,62,161,3,323,1,320,99
0000787.jpg,183,262,126,323,3,197,79
0000787.jpg,277,366,103,313,2,210,89
0000786.jpg,178,265,73,373,1,300,87
0000786.jpg,286,360,185,372,3,187,74
0000786.jpg,376,457,164,365,2,201,81
0000785.jpg,304,389,46,330,1,284,85
0000785.jpg,407,484,153,328,3,175,77
0000785.jpg,497,575,119,316,2,197,78
0000784.jpg,177,262,75,351,1,276,85
0000784.jpg,277,351,178,346,3,168,74
0000784.jpg,362,437,148,332,2,184,75
0000783.jpg,64,141,33,269,1,236,77
0000783.jpg,150,215,121,261,3,140,65
0000783.jpg,221,286,96,248,2,152,65
0000782.jpg,33,109,77,309,1,232,76
0000782.jpg,118,181,164,305,3,141,63
0000782.jpg,192,255,142,295,2,153,63
0000781.jpg,58,137,77,318,1,241,79
0000781.jpg,147,208,164,314,3,150,61
0000781.jpg,218,282,146,304,2,158,64
0000780.jpg,30,68,337,469,1,132,38
0000780.jpg,75,111,378,467,3,89,36
0000780.jpg,117,154,365,458,2,93,37
0000779.jpg,218,256,335,465,1,130,38
0000779.jpg,263,300,378,462,3,84,37
0000779.jpg,304,341,364,456,2,92,37
0000778.jpg,306,345,336,467,1,131,39
0000778.jpg,348,386,381,466,3,85,38
0000778.jpg,389,429,370,457,2,87,40
0000777.jpg,436,478,213,344,1,131,42
0000777.jpg,482,521,258,339,3,81,39
0000777.jpg,523,565,244,336,2,92,42
0000776.jpg,234,275,227,353,1,126,41
0000776.jpg,277,315,267,348,3,81,38
0000776.jpg,315,354,257,342,2,85,39
0000775.jpg,63,106,218,343,1,125,43
0000775.jpg,111,148,259,339,3,80,37
0000775.jpg,152,189,245,332,2,87,37
0000774.jpg,61,103,16,143,1,127,42
0000774.jpg,108,146,60,143,3,83,38
0000774.jpg,150,187,53,140,2,87,37
0000773.jpg,204,242,53,179,1,126,38
0000773.jpg,248,280,99,180,3,81,32
0000773.jpg,286,322,87,173,2,86,36
0000772.jpg,401,439,36,164,1,128,38
0000772.jpg,445,478,80,158,3,78,33
0000772.jpg,484,520,64,152,2,88,36
0000771.jpg,459,495,158,281,1,123,36
0000771.jpg,503,536,200,280,3,80,33
0000771.jpg,540,578,186,277,2,91,38
0000770.jpg,474,514,210,339,1,129,40
0000770.jpg,517,557,259,338,3,79,40
0000770.jpg,557,598,246,333,2,87,41
0000769.jpg,264,301,219,342,1,123,37
0000769.jpg,306,341,263,340,3,77,35
0000769.jpg,348,382,251,341,2,90,34
0000768.jpg,174,216,146,286,1,140,42
0000768.jpg,218,256,195,288,3,93,38
0000768.jpg,264,303,189,282,2,93,39
0000767.jpg,231,280,134,301,1,167,49
0000767.jpg,287,331,195,300,3,105,44
0000767.jpg,339,384,178,291,2,113,45
0000766.jpg,197,260,129,343,1,214,63
0000766.jpg,273,326,205,344,3,139,53
0000766.jpg,339,398,192,341,2,149,59
0000765.jpg,181,271,139,432,1,293,90
0000765.jpg,280,361,245,435,3,190,81
0000765.jpg,374,461,213,424,2,211,87
0000764.jpg,160,253,81,396,1,315,93
0000764.jpg,269,350,195,398,3,203,81
0000764.jpg,370,458,167,392,2,225,88
0000763.jpg,181,279,48,383,1,335,98
0000763.jpg,299,380,174,391,3,217,81
0000763.jpg,406,496,147,382,2,235,90
0000762.jpg,84,207,65,441,1,376,123
0000762.jpg,196,299,199,435,3,236,103
0000762.jpg,335,454,143,421,2,278,119
0000761.jpg,121,222,80,400,1,320,101
0000761.jpg,210,295,196,405,3,209,85
0000761.jpg,321,413,165,410,2,245,92
0000760.jpg,244,328,97,372,1,275,84
0000760.jpg,307,386,200,387,3,187,79
0000760.jpg,400,490,179,400,2,221,90
0000759.jpg,256,331,154,391,1,237,75
0000759.jpg,323,392,236,393,3,157,69
0000759.jpg,411,487,212,388,2,176,76
0000758.jpg,249,311,133,349,1,216,62
0000758.jpg,307,364,213,354,3,141,57
0000758.jpg,388,455,195,351,2,156,67
0000757.jpg,233,284,162,335,1,173,51
0000757.jpg,281,330,225,337,3,112,49
0000757.jpg,343,395,208,339,2,131,52
0000756.jpg,213,254,212,348,1,136,41
0000756.jpg,251,289,261,353,3,92,38
0000756.jpg,304,344,249,350,2,101,40
0000755.jpg,280,321,167,312,1,145,41
0000755.jpg,321,354,218,310,3,92,33
0000755.jpg,373,412,207,307,2,100,39
0000754.jpg,233,271,170,295,1,125,38
0000754.jpg,270,304,212,294,3,82,34
0000754.jpg,319,352,200,286,2,86,33
0000753.jpg,228,264,186,313,1,127,36
0000753.jpg,264,300,229,308,3,79,36
0000753.jpg,314,348,215,303,2,88,34
0000752.jpg,199,239,189,329,1,140,40
0000752.jpg,238,274,238,325,3,87,36
0000752.jpg,292,331,223,318,2,95,39
0000751.jpg,298,347,175,341,1,166,49
0000751.jpg,348,390,231,341,3,110,42
0000751.jpg,414,457,219,331,2,112,43
0000750.jpg,252,316,204,436,1,232,64
0000750.jpg,315,374,285,431,3,146,59
0000750.jpg,406,468,265,420,2,155,62
0000749.jpg,201,283,197,473,1,276,82
0000749.jpg,282,350,300,475,3,175,68
0000749.jpg,387,467,280,472,2,192,80
0000748.jpg,232,297,222,376,3,154,65
0000748.jpg,328,399,197,370,2,173,71
0000748.jpg,413,484,129,381,1,252,71
0000747.jpg,30,107,233,424,3,191,77
0000747.jpg,151,231,210,414,2,204,80
